booking_id,guest_id,booking_date,check_in_date,check_out_date,room_type_id,rate_code_id,channel_id,segment_id,policy_id,status,total_room_revenue,number_of_rooms,adults_count,children_count,cancellation_date,cancellation_reason_code,gross_revenue,gross_room_revenue,commission_amount,net_room_revenue,penalty_charged,deposit_paid
BKG_000001,G_00934,2023-07-23,2024-02-01,2024-02-06,RT_STD,RC_PROMO,CH_CORP,Leisure,POL_FLEX,Checked-In,10625.0,1,1,0,,,10625.0,10625.0,0.0,10625.0,0.0,0.0
BKG_000002,G_04289,2023-07-25,2024-02-25,2024-02-27,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Cancelled,0.0,1,1,1,2024-02-24,RSN_01,3750.0,0.0,0.0,0.0,0.0,0.0
BKG_000003,G_05367,2023-07-27,2024-03-12,2024-03-18,RT_DLX,RC_NONREF,CH_BKG,Leisure,POL_FLEX,Checked-In,17100.0,1,1,1,,,17100.0,17100.0,2565.0,14535.0,0.0,0.0
BKG_000004,G_03244,2023-08-04,2024-01-31,2024-02-09,RT_STD,RC_RACK,CH_DIR,Group,POL_48H,Checked-In,22500.0,1,2,0,,,22500.0,22500.0,0.0,22500.0,0.0,1.0
BKG_000005,G_02116,2023-08-08,2024-03-02,2024-03-04,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,5000.0,1,2,0,,,5000.0,5000.0,900.0,4100.0,0.0,0.0
BKG_000006,G_00642,2023-08-17,2024-02-02,2024-02-04,RT_DLX,RC_PROMO,CH_CORP,Leisure,POL_FLEX,Checked-In,6460.0,1,2,1,,,6460.0,6460.0,0.0,6460.0,0.0,0.0
BKG_000007,G_00972,2023-08-18,2024-02-19,2024-02-27,RT_STD,RC_NONREF,CH_DIR,Leisure,POL_FLEX,Cancelled,0.0,1,2,0,2024-01-25,RSN_03,15000.0,0.0,0.0,0.0,0.0,0.0
BKG_000008,G_03046,2023-08-18,2024-03-26,2024-03-28,RT_DLX,RC_NONREF,CH_BKG,Leisure,POL_FLEX,Checked-In,5700.0,1,1,0,,,5700.0,5700.0,855.0,4845.0,0.0,0.0
BKG_000009,G_02798,2023-08-18,2024-05-02,2024-05-05,RT_STD,RC_NONREF,CH_DIR,Leisure,POL_NONREF,Checked-In,5625.0,1,1,0,,,5625.0,5625.0,0.0,5625.0,0.0,1.0
BKG_000010,G_01954,2023-08-19,2024-02-13,2024-02-19,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,15000.0,1,2,0,,,15000.0,15000.0,2700.0,12300.0,0.0,0.0
BKG_000011,G_01677,2023-08-25,2024-02-27,2024-02-29,RT_STD,RC_NONREF,CH_EXP,Leisure,POL_FLEX,Checked-In,3750.0,1,1,1,,,3750.0,3750.0,675.0,3075.0,0.0,0.0
BKG_000012,G_05480,2023-08-27,2024-02-20,2024-02-27,RT_DLX,RC_PROMO,CH_BKG,Leisure,POL_FLEX,Checked-In,22610.0,1,2,0,,,22610.0,22610.0,3391.5,19218.5,0.0,0.0
BKG_000013,G_04022,2023-08-28,2024-02-09,2024-02-18,RT_STD,RC_PROMO,CH_EXP,Leisure,POL_NONREF,Checked-In,19125.0,1,1,0,,,19125.0,19125.0,3442.5,15682.5,0.0,1.0
BKG_000014,G_05630,2023-08-28,2024-02-13,2024-02-27,RT_DLX,RC_RACK,CH_CORP,Leisure,POL_NONREF,Checked-In,53200.0,1,1,0,,,53200.0,53200.0,0.0,53200.0,0.0,1.0
BKG_000015,G_03751,2023-08-30,2024-02-03,2024-02-13,RT_STD,RC_PROMO,CH_DIR,Leisure,POL_FLEX,Checked-In,21250.0,1,2,0,,,21250.0,21250.0,0.0,21250.0,0.0,0.0
BKG_000016,G_04128,2023-09-01,2024-02-15,2024-02-26,RT_STD,RC_RACK,CH_EXP,Leisure,POL_FLEX,Checked-In,27500.0,1,2,0,,,27500.0,27500.0,4950.0,22550.0,0.0,0.0
