booking_id,guest_id,booking_date,check_in_date,lead_time_days,length_of_stay,channel_id,policy_id,status,cancellation_date,cancellation_reason_code,adr_usd,gross_revenue_usd,deposit_paid_usd,penalty_charged_usd
BKG_000001,GST_01772,2025-02-25,2025-03-02,5,3,CH_01,POL_04,Cancelled,2025-02-28,RSN_05,262.64,787.92,236.38,393.96
BKG_000002,GST_02070,2025-03-25,2025-04-29,35,4,CH_04,POL_03,Checked-In,,,338.65,1354.6,1354.6,0.0
BKG_000003,GST_01703,2025-02-15,2025-02-26,11,1,CH_02,POL_01,Cancelled,2025-02-17,RSN_02,302.71,302.71,0.0,0.0
BKG_000004,GST_01354,2024-09-07,2024-09-29,22,1,CH_02,POL_01,Checked-In,,,148.08,148.08,0.0,0.0
BKG_000005,GST_00035,2025-01-30,2025-02-10,11,3,CH_02,POL_02,Cancelled,2025-02-04,RSN_01,119.24,357.72,0.0,0.0
BKG_000006,GST_00557,2024-05-15,2024-06-02,18,3,CH_05,POL_02,No-Show,,RSN_06,102.46,307.38,0.0,245.9
BKG_000007,GST_02063,2024-08-13,2024-08-18,5,3,CH_03,POL_01,No-Show,,RSN_06,338.12,1014.36,0.0,811.49
BKG_000008,GST_00306,2024-01-12,2024-05-16,125,5,CH_04,POL_03,Checked-In,,,95.96,479.8,479.8,0.0
BKG_000009,GST_00134,2025-03-02,2025-03-03,1,7,CH_01,POL_01,Cancelled,2025-03-02,RSN_02,125.87,881.09,0.0,881.09
BKG_000010,GST_01696,2024-04-20,2024-05-01,11,4,CH_03,POL_01,No-Show,,RSN_06,91.19,364.76,0.0,291.81
BKG_000011,GST_00904,2025-03-07,2025-03-10,3,3,CH_01,POL_01,Cancelled,2025-03-08,RSN_01,136.1,408.3,0.0,408.3
BKG_000012,GST_00175,2025-05-09,2025-05-21,12,4,CH_03,POL_04,Checked-In,,,265.57,1062.28,318.68,0.0
BKG_000013,GST_01038,2025-01-08,2025-02-04,27,3,CH_03,POL_04,Checked-In,,,84.5,253.5,76.05,0.0
BKG_000014,GST_01874,2024-03-16,2024-04-12,27,3,CH_03,POL_04,Cancelled,2024-04-10,RSN_03,313.93,941.79,282.54,470.89
BKG_000015,GST_01634,2024-05-06,2024-05-17,11,3,CH_02,POL_02,No-Show,,RSN_06,116.51,349.53,0.0,279.62
BKG_000016,GST_00419,2025-03-19,2025-06-17,90,1,CH_04,POL_03,Checked-In,,,114.44,114.44,114.44,0.0
BKG_000017,GST_02113,2024-03-04,2024-03-31,27,4,CH_03,POL_05,Checked-In,,,160.41,641.64,0.0,0.0
BKG_000018,GST_01941,2024-11-08,2024-11-13,5,2,CH_01,POL_01,Cancelled,2024-11-10,RSN_01,148.73,297.46,0.0,0.0
BKG_000019,GST_02395,2024-12-12,2025-01-05,24,3,CH_04,POL_04,Checked-In,,,232.99,698.97,209.69,0.0
BKG_000020,GST_02391,2024-04-10,2024-05-29,49,1,CH_03,POL_01,Checked-In,,,192.19,192.19,0.0,0.0
BKG_000021,GST_02297,2024-03-15,2024-04-02,18,7,CH_01,POL_02,Checked-In,,,248.93,1742.51,0.0,0.0
BKG_000022,GST_01265,2024-12-09,2024-12-24,15,6,CH_01,POL_01,Cancelled,2024-12-10,RSN_03,235.82,1414.92,0.0,0.0
BKG_000023,GST_01939,2024-01-25,2024-02-22,28,7,CH_03,POL_01,Checked-In,,,133.63,935.41,0.0,0.0
BKG_000024,GST_01463,2025-02-05,2025-02-13,8,3,CH_03,POL_03,Checked-In,,,102.03,306.09,306.09,0.0
BKG_000025,GST_02335,2024-01-10,2024-01-25,15,2,CH_01,POL_02,Cancelled,2024-01-15,RSN_03,83.74,167.48,0.0,0.0
BKG_000026,GST_01161,2024-06-02,2024-07-26,54,1,CH_01,POL_04,Checked-In,,,232.44,232.44,69.73,0.0
BKG_000027,GST_01682,2024-11-25,2024-11-30,5,1,CH_03,POL_02,Checked-In,,,128.88,128.88,0.0,0.0
BKG_000028,GST_02315,2025-04-29,2025-05-02,3,6,CH_02,POL_03,Checked-In,,,284.67,1708.02,1708.02,0.0
BKG_000029,GST_02356,2024-07-17,2024-07-25,8,3,CH_01,POL_05,Cancelled,2024-07-22,RSN_05,332.33,996.99,0.0,996.99
BKG_000030,GST_00735,2024-03-29,2024-04-02,4,2,CH_01,POL_01,No-Show,,RSN_06,195.61,391.22,0.0,312.98
BKG_000031,GST_00732,2024-04-15,2024-05-11,26,2,CH_01,POL_01,Checked-In,,,276.91,553.82,0.0,0.0
BKG_000032,GST_01750,2025-04-11,2025-04-26,15,7,CH_05,POL_04,Cancelled,2025-04-14,RSN_01,184.15,1289.05,386.71,0.0
BKG_000033,GST_01491,2025-04-11,2025-05-13,32,7,CH_01,POL_04,Checked-In,,,241.99,1693.93,508.18,0.0
BKG_000034,GST_01578,2024-09-29,2024-10-07,8,6,CH_05,POL_04,Checked-In,,,266.39,1598.34,479.5,0.0
BKG_000035,GST_02263,2024-05-13,2024-06-05,23,2,CH_02,POL_03,Checked-In,,,112.39,224.78,224.78,0.0
BKG_000036,GST_01308,2024-03-15,2024-04-24,40,1,CH_06,POL_03,Checked-In,,,282.99,282.99,282.99,0.0
BKG_000037,GST_01352,2024-06-27,2024-08-25,59,2,CH_05,POL_01,Cancelled,2024-07-16,RSN_02,308.37,616.74,0.0,0.0
BKG_000038,GST_00379,2025-01-21,2025-01-25,4,1,CH_03,POL_03,Checked-In,,,201.87,201.87,201.87,0.0
BKG_000039,GST_01147,2024-10-24,2024-11-09,16,2,CH_04,POL_03,Checked-In,,,224.89,449.78,449.78,0.0
