guest_id,country_of_origin,total_bookings_lifetime,total_cancellations_lifetime,cancellation_ratio
G_00001,Thailand,2.0,1.0,0.5
G_00002,China,2.0,1.0,0.5
G_00003,Germany,0.0,0.0,0.0
G_00004,Thailand,1.0,0.0,0.0
G_00005,Germany,1.0,0.0,0.0
G_00006,USA,1.0,0.0,0.0
G_00007,Australia,0.0,0.0,0.0
G_00008,Japan,2.0,2.0,1.0
G_00009,UK,1.0,1.0,1.0
G_00010,China,2.0,1.0,0.5
G_00011,Australia,0.0,0.0,0.0
G_00012,USA,1.0,1.0,1.0
G_00013,Thailand,2.0,1.0,0.5
G_00014,China,0.0,0.0,0.0
G_00015,Japan,1.0,0.0,0.0
G_00016,Japan,1.0,1.0,1.0
G_00017,Japan,2.0,2.0,1.0
G_00018,USA,2.0,0.0,0.0
G_00019,Japan,0.0,0.0,0.0
G_00020,Thailand,1.0,0.0,0.0
G_00021,UK,1.0,1.0,1.0
G_00022,Thailand,0.0,0.0,0.0
G_00023,Thailand,1.0,0.0,0.0
G_00024,Thailand,0.0,0.0,0.0
G_00025,Thailand,3.0,3.0,1.0
G_00026,China,7.0,1.0,0.14
G_00027,Thailand,2.0,2.0,1.0
G_00028,USA,0.0,0.0,0.0
G_00029,Thailand,2.0,2.0,1.0
G_00030,Thailand,5.0,3.0,0.6
G_00031,Thailand,1.0,1.0,1.0
G_00032,Thailand,1.0,1.0,1.0
G_00033,China,2.0,1.0,0.5
G_00034,China,0.0,0.0,0.0
G_00035,China,3.0,2.0,0.67
G_00036,USA,0.0,0.0,0.0
G_00037,Thailand,3.0,1.0,0.33
G_00038,Australia,2.0,2.0,1.0
G_00039,UK,1.0,1.0,1.0
G_00040,USA,2.0,1.0,0.5
G_00041,Thailand,2.0,1.0,0.5
G_00042,Thailand,1.0,0.0,0.0
G_00043,Thailand,4.0,3.0,0.75
G_00044,Thailand,3.0,3.0,1.0
G_00045,UK,1.0,0.0,0.0
G_00046,UK,1.0,1.0,1.0
G_00047,China,2.0,1.0,0.5
G_00048,Japan,1.0,1.0,1.0
G_00049,Japan,2.0,1.0,0.5
G_00050,China,1.0,1.0,1.0
G_00051,Germany,0.0,0.0,0.0
G_00052,Thailand,1.0,0.0,0.0
G_00053,Thailand,0.0,0.0,0.0
G_00054,Thailand,4.0,3.0,0.75
G_00055,China,2.0,0.0,0.0
G_00056,Australia,3.0,1.0,0.33
G_00057,Thailand,2.0,1.0,0.5
G_00058,Germany,1.0,1.0,1.0
G_00059,Thailand,4.0,4.0,1.0
G_00060,Germany,3.0,2.0,0.67
G_00061,Thailand,0.0,0.0,0.0
G_00062,Thailand,1.0,1.0,1.0
G_00063,USA,1.0,1.0,1.0
G_00064,Thailand,1.0,0.0,0.0
G_00065,Thailand,1.0,1.0,1.0
G_00066,Thailand,0.0,0.0,0.0
G_00067,Japan,1.0,1.0,1.0
G_00068,UK,1.0,1.0,1.0
G_00069,Thailand,1.0,0.0,0.0
G_00070,China,6.0,2.0,0.33
G_00071,China,1.0,1.0,1.0
G_00072,Thailand,4.0,3.0,0.75
G_00073,USA,2.0,2.0,1.0
G_00074,Thailand,2.0,1.0,0.5
G_00075,Thailand,2.0,1.0,0.5
G_00076,China,4.0,2.0,0.5
G_00077,Thailand,1.0,1.0,1.0
G_00078,UK,0.0,0.0,0.0
G_00079,China,4.0,3.0,0.75
G_00080,Thailand,1.0,1.0,1.0
G_00081,UK,2.0,1.0,0.5
G_00082,Thailand,2.0,2.0,1.0
G_00083,Germany,1.0,0.0,0.0
G_00084,USA,3.0,3.0,1.0
G_00085,Japan,2.0,1.0,0.5
G_00086,UK,5.0,2.0,0.4
G_00087,Thailand,2.0,1.0,0.5
G_00088,China,1.0,1.0,1.0
G_00089,Germany,2.0,0.0,0.0
G_00090,China,0.0,0.0,0.0
G_00091,Japan,3.0,1.0,0.33
G_00092,Australia,2.0,2.0,1.0
G_00093,Thailand,2.0,1.0,0.5
G_00094,Thailand,1.0,1.0,1.0
G_00095,China,2.0,1.0,0.5
G_00096,USA,1.0,1.0,1.0
G_00097,Japan,1.0,1.0,1.0
G_00098,Germany,2.0,1.0,0.5
G_00099,Thailand,2.0,2.0,1.0
G_00100,Thailand,1.0,1.0,1.0
G_00101,Japan,1.0,1.0,1.0
G_00102,Thailand,2.0,2.0,1.0
G_00103,Japan,1.0,0.0,0.0
G_00104,USA,2.0,2.0,1.0
G_00105,China,1.0,0.0,0.0
G_00106,Thailand,0.0,0.0,0.0
G_00107,China,0.0,0.0,0.0
G_00108,USA,1.0,1.0,1.0
G_00109,UK,2.0,1.0,0.5
G_00110,Thailand,0.0,0.0,0.0
G_00111,China,1.0,0.0,0.0
G_00112,Australia,2.0,1.0,0.5
G_00113,Thailand,2.0,1.0,0.5
G_00114,Thailand,3.0,2.0,0.67
G_00115,Thailand,2.0,1.0,0.5
G_00116,China,3.0,3.0,1.0
G_00117,China,2.0,2.0,1.0
G_00118,UK,3.0,2.0,0.67
G_00119,Thailand,1.0,0.0,0.0
G_00120,Thailand,0.0,0.0,0.0
G_00121,UK,2.0,2.0,1.0
G_00122,USA,3.0,3.0,1.0
G_00123,Germany,3.0,2.0,0.67
G_00124,Thailand,0.0,0.0,0.0
G_00125,China,2.0,1.0,0.5
G_00126,USA,1.0,1.0,1.0
G_00127,USA,1.0,0.0,0.0
G_00128,China,4.0,3.0,0.75
G_00129,China,1.0,0.0,0.0
G_00130,Germany,2.0,1.0,0.5
G_00131,Thailand,1.0,1.0,1.0
G_00132,Thailand,1.0,1.0,1.0
G_00133,China,3.0,2.0,0.67
G_00134,UK,2.0,2.0,1.0
G_00135,Thailand,3.0,1.0,0.33
G_00136,Thailand,4.0,2.0,0.5
G_00137,Thailand,1.0,1.0,1.0
G_00138,Australia,1.0,1.0,1.0
G_00139,Thailand,1.0,1.0,1.0
G_00140,Thailand,1.0,0.0,0.0
G_00141,Thailand,3.0,2.0,0.67
G_00142,Thailand,1.0,0.0,0.0
G_00143,Thailand,2.0,2.0,1.0
G_00144,UK,3.0,2.0,0.67
G_00145,Thailand,1.0,1.0,1.0
G_00146,Japan,3.0,1.0,0.33
G_00147,Thailand,0.0,0.0,0.0
G_00148,UK,0.0,0.0,0.0
G_00149,Australia,2.0,1.0,0.5
G_00150,China,5.0,4.0,0.8
G_00151,UK,0.0,0.0,0.0
G_00152,Thailand,0.0,0.0,0.0
G_00153,Thailand,1.0,0.0,0.0
G_00154,China,1.0,1.0,1.0
G_00155,Germany,2.0,2.0,1.0
G_00156,China,3.0,2.0,0.67
G_00157,UK,2.0,1.0,0.5
G_00158,China,1.0,1.0,1.0
G_00159,USA,0.0,0.0,0.0
G_00160,Thailand,1.0,1.0,1.0
G_00161,UK,0.0,0.0,0.0
G_00162,Germany,2.0,1.0,0.5
G_00163,Thailand,1.0,1.0,1.0
G_00164,China,3.0,3.0,1.0
G_00165,Thailand,2.0,2.0,1.0
G_00166,UK,0.0,0.0,0.0
G_00167,Thailand,5.0,3.0,0.6
G_00168,USA,0.0,0.0,0.0
G_00169,Japan,2.0,2.0,1.0
G_00170,Thailand,2.0,2.0,1.0
G_00171,China,0.0,0.0,0.0
G_00172,Japan,0.0,0.0,0.0
G_00173,Germany,1.0,0.0,0.0
G_00174,Thailand,1.0,1.0,1.0
G_00175,Thailand,3.0,2.0,0.67
